         7x15E                    (7x15E.dat)
         v2024-0915
         Simulation Date: 02/05/2025

         AIRFOIL AERO DATA GENERATED USING:  POLARS                        

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1487      0.1748       0.015       0.238       0.182      11.283       0.027       0.810       7.318        0.11      26198.    0.2617
        2.12      0.0800      0.0682      0.1480      0.1738       0.015       0.237       0.181      11.216       0.027       0.806       7.329        0.11      26263.    0.2615
        4.24      0.1600      0.1364      0.1477      0.1733       0.015       0.236       0.181      11.188       0.027       0.804       7.330        0.11      26347.    0.2613
        6.37      0.2401      0.2042      0.1477      0.1737       0.015       0.237       0.181      11.211       0.027       0.804       7.316        0.11      26452.    0.2608
        8.49      0.3201      0.2709      0.1481      0.1750       0.015       0.239       0.181      11.297       0.027       0.807       7.281        0.11      26579.    0.2599
       10.61      0.4001      0.3358      0.1489      0.1775       0.015       0.242       0.182      11.454       0.027       0.811       7.219        0.11      26730.    0.2584
       12.73      0.4801      0.3978      0.1501      0.1811       0.016       0.247       0.184      11.690       0.028       0.817       7.128        0.11      26905.    0.2561
       14.85      0.5601      0.4561      0.1515      0.1860       0.016       0.254       0.185      12.007       0.029       0.825       7.005        0.11      27105.    0.2528
       16.97      0.6402      0.5099      0.1531      0.1922       0.017       0.262       0.187      12.406       0.030       0.834       6.852        0.11      27331.    0.2486
       19.10      0.7202      0.5584      0.1548      0.1996       0.017       0.272       0.189      12.884       0.031       0.843       6.671        0.11      27582.    0.2434
       21.22      0.8002      0.6015      0.1565      0.2081       0.018       0.284       0.192      13.435       0.032       0.852       6.467        0.11      27858.    0.2372
       23.34      0.8802      0.6389      0.1580      0.2176       0.019       0.297       0.193      14.047       0.034       0.860       6.244        0.12      28158.    0.2302
       25.46      0.9602      0.6708      0.1591      0.2277       0.020       0.311       0.195      14.699       0.035       0.866       6.010        0.12      28483.    0.2223
       27.58      1.0403      0.6975      0.1595      0.2379       0.021       0.324       0.195      15.356       0.037       0.869       5.768        0.12      28831.    0.2137
       29.70      1.1203      0.7198      0.1589      0.2473       0.021       0.337       0.194      15.960       0.038       0.865       5.527        0.12      29203.    0.2043
       31.83      1.2003      0.7387      0.1566      0.2545       0.022       0.347       0.192      16.427       0.039       0.853       5.294        0.12      29597.    0.1943
       33.95      1.2803      0.7553      0.1523      0.2582       0.022       0.352       0.186      16.663       0.040       0.829       5.075        0.12      30014.    0.1837
       36.07      1.3603      0.7707      0.1458      0.2574       0.022       0.351       0.179      16.615       0.040       0.794       4.874        0.12      30453.    0.1726
       38.19      1.4404      0.7848      0.1375      0.2524       0.022       0.344       0.168      16.290       0.039       0.749       4.687        0.12      30912.    0.1612
       40.31      1.5204      0.7972      0.1278      0.2437       0.021       0.332       0.156      15.729       0.038       0.696       4.511        0.12      31390.    0.1495
       42.44      1.6004      0.8071      0.1170      0.2319       0.020       0.316       0.143      14.970       0.036       0.637       4.338        0.12      31886.    0.1376
       44.56      1.6804      0.8136      0.1054      0.2176       0.019       0.297       0.129      14.046       0.034       0.574       4.165        0.13      32398.    0.1254
       46.68      1.7605      0.8156      0.0931      0.2011       0.017       0.274       0.114      12.977       0.031       0.507       3.986        0.13      32925.    0.1128
       48.80      1.8405      0.8114      0.0805      0.1825       0.016       0.249       0.099      11.781       0.028       0.438       3.793        0.13      33467.    0.0998
       50.92      1.9205      0.7983      0.0674      0.1622       0.014       0.221       0.083      10.471       0.025       0.367       3.576        0.13      34022.    0.0861
       53.04      2.0005      0.7717      0.0541      0.1403       0.012       0.191       0.066       9.058       0.022       0.295       3.319        0.13      34590.    0.0716
       55.17      2.0805      0.7228      0.0407      0.1171       0.010       0.160       0.050       7.555       0.018       0.221       2.989        0.13      35171.    0.0559
       57.29      2.1606      0.6331      0.0271      0.0925       0.008       0.126       0.033       5.974       0.014       0.148       2.521        0.13      35763.    0.0385
       59.41      2.2406      0.4541      0.0136      0.0670       0.006       0.091       0.017       4.326       0.010       0.074       1.744        0.14      36367.    0.0188
       61.53      2.3206      0.0094      0.0002      0.0407       0.004       0.056       0.000       2.627       0.006       0.001       0.035        0.14      36981.    0.0000



         PROP RPM =       5000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1489      0.1730       0.029       0.369       0.285      21.815       0.042       1.267       5.920        0.14      32747.    0.2648
        2.66      0.0802      0.0691      0.1482      0.1720       0.029       0.367       0.284      21.684       0.041       1.261       5.930        0.14      32829.    0.2647
        5.32      0.1605      0.1383      0.1479      0.1716       0.029       0.366       0.283      21.629       0.041       1.258       5.932        0.14      32935.    0.2645
        7.98      0.2407      0.2071      0.1479      0.1719       0.029       0.366       0.283      21.676       0.041       1.259       5.922        0.14      33066.    0.2641
       10.64      0.3209      0.2748      0.1484      0.1733       0.029       0.369       0.284      21.845       0.042       1.263       5.894        0.14      33225.    0.2632
       13.30      0.4012      0.3406      0.1492      0.1757       0.030       0.375       0.285      22.155       0.042       1.270       5.844        0.14      33415.    0.2617
       15.96      0.4814      0.4035      0.1504      0.1794       0.030       0.382       0.288      22.618       0.043       1.280       5.769        0.14      33635.    0.2594
       18.61      0.5616      0.4625      0.1518      0.1844       0.031       0.393       0.290      23.242       0.044       1.292       5.668        0.14      33887.    0.2561
       21.27      0.6419      0.5169      0.1535      0.1906       0.032       0.406       0.294      24.027       0.046       1.306       5.542        0.14      34170.    0.2517
       23.93      0.7221      0.5660      0.1552      0.1981       0.033       0.422       0.297      24.968       0.048       1.321       5.394        0.14      34485.    0.2464
       26.59      0.8023      0.6094      0.1570      0.2067       0.035       0.440       0.300      26.053       0.050       1.335       5.227        0.14      34832.    0.2401
       29.25      0.8825      0.6470      0.1585      0.2162       0.037       0.461       0.303      27.257       0.052       1.349       5.045        0.14      35209.    0.2329
       31.91      0.9628      0.6790      0.1596      0.2264       0.038       0.482       0.305      28.539       0.055       1.358       4.853        0.15      35617.    0.2248
       34.57      1.0430      0.7057      0.1601      0.2366       0.040       0.504       0.306      29.830       0.057       1.362       4.657        0.15      36054.    0.2160
       37.23      1.1232      0.7279      0.1594      0.2460       0.042       0.524       0.305      31.016       0.059       1.357       4.460        0.15      36521.    0.2065
       39.89      1.2035      0.7467      0.1571      0.2533       0.043       0.540       0.301      31.929       0.061       1.337       4.270        0.15      37016.    0.1963
       42.55      1.2837      0.7633      0.1528      0.2569       0.043       0.547       0.292      32.386       0.062       1.300       4.092        0.15      37540.    0.1854
       45.21      1.3639      0.7787      0.1462      0.2561       0.043       0.546       0.280      32.284       0.062       1.244       3.929        0.15      38091.    0.1742
       47.87      1.4442      0.7928      0.1378      0.2510       0.042       0.535       0.264      31.641       0.060       1.172       3.778        0.15      38668.    0.1626
       50.52      1.5244      0.8053      0.1279      0.2422       0.041       0.516       0.245      30.533       0.058       1.089       3.636        0.15      39268.    0.1508
       53.18      1.6046      0.8155      0.1171      0.2303       0.039       0.491       0.224      29.037       0.055       0.996       3.497        0.16      39891.    0.1387
       55.84      1.6849      0.8225      0.1054      0.2159       0.036       0.460       0.202      27.214       0.052       0.897       3.360        0.16      40533.    0.1264
       58.50      1.7651      0.8252      0.0931      0.1991       0.034       0.424       0.178      25.106       0.048       0.792       3.218        0.16      41195.    0.1138
       61.16      1.8453      0.8221      0.0804      0.1804       0.031       0.384       0.154      22.745       0.043       0.684       3.066        0.16      41875.    0.1008
